Topic,Count,Name,Representation,Representative_Docs
-1,8215,-1_phone_samsung_ultra_but,"['phone', 'samsung', 'ultra', 'but', 's24', 'its', 'have', 'just', 'iphone', 'like']","['you keep saying copy the iphone and just like the iphone. but android has been doing most of these features long before the iphone. also samsung os shell suck balls. i had a s22 ultra when it first came out. after 6 months i hated it sold it and bought a pixel 6 none pro and the pixel by far performed better than the Samsung. the fact that samsung does not have call screening or even visual voicemail its just stupid. you have to use a carrier third party app if you want that. the pixal it all built in i dont have to use any third party apps or extra apps for the phone to function properly. i dont think ill ever buy a samsung again. one of the worst phones ive owned. the pixel out right beats the samsung and iphons your everyday use.', ""I didn't like the s24 + i really wanted to the display is amazing but with exynos as soon as i go outside and use data the battery drain is crazy wich sucks as it's good indoors no issues on wifi. I returned it and have ordered the s24 ultra in titanium violet 😊 Hoping with Snapdragon gen 3 this won't be a problem otherwise i am just keeping Iphone 14 pro because even though it has a bit of drain the standy by drain even with music playing and on mobile data is way better. Ps. your video standard is so high i keep coming back even for things i have no interest in. I would also like to point out having similarities between Iphone and Samsung benefits me as i switch back and forth between the two always have done over the years so it just means switching is easier. If Iphone introduced universal back gestures i'd be very happy as that's one thing that makes Android so much easier to navigate."", 'What an amazing review Marques of the samsung galaxy s24 ultra im glad your enjoying the phone and using it day to day love your thoughts on this phone no questions iv been using my samsung galaxy s24 ultra for the past 3 months plus this is my first ever flagship phone and i gotta this phone is the goat 🐐 of Android phones no questions asked why because everything on this phone is perfect first of all the design its feels like luxury when i hold a phone apart from a a crazy price but damn this phone feels fresh to me next is the beautiful colorful punchy oled display i watched a ton of videos played games watched movies and streams and it feels so colourful that it feels im in real life watching it its so good the next is the battery battery is just a chefs kiss no matter what starting the day at 100 and finishing the day at 20 the battery never dies im mindblown next is cameras the pictures are just so good that it feels like im taking dslr quality photos and lastly the software hands down samsung makes the best android skins evr since one ui was released in 2018 it has been always good its fast snd buttery smooth i just love it downside for me is the ai features which are ok but hopefully make it even better next year but overall this phone is just a beast this is the reason why samsung phones are called the iphone of android but anyways thanks for the review my man your reviews are made me love the phone more and as you said yes your right why get anything else if its just as good as it gets love your review videos my man thanks for the review also love the intro of the review ❤❤❤']"
0,11154,0_samsung_ultra_galaxy_phone,"['samsung', 'ultra', 'galaxy', 'phone', 's24', 'samsung galaxy', 'iphone', 'but', 'have', 's24 ultra']","['Samsung Galaxy S24 Ultra, Galaxy AI, Câmera 200Mpx, 256GB, 12GB RAM, 6.8"" 120Hz, 5000mAH ❌ De R$5.999 💸 Por R$4.319 no PIX 💳 ou R$4.799 em até 4x sem juros ⭐ 4.8 🛍️ Amazon 🔗 link.amazon/B01T2bafK 🔔 Siga para não perder nenhuma oferta - Anúncio', 'So super phone is samsung galaxy S24 Ultra 📱👌', ""After using the Note 20 Ultra for 3 and a half years, I pre-ordered the S24 Ultra, 1 TB version. My Note 20 Ultra has 512 GB of storage expanded by a 256 GB SD card. I hate to lose the SD slot but the 1 TB makes up for it. The Note's cameras were good for 2020 but I can see a huge difference in my son's S23 Ultra's photos versus mine. AT&T basically lied to me when they offered a free S21 FE with activation of a new line. After viewing my bills a couple of months later, I saw I was being charged $10 per month for it. If I were to pay $10 a month for a phone, it wouldn't be the S21 FE. I was impressed with the features of the Onelplus 12 so I opted to pre-order it as well. I'll transfer the Sim card from the S21 FE to the Oneplus 12 and use the S21 FE as a Bluetooth player for my music systems. This will give me an opportunity to compare two different flagship phones to decide which one I'd like better. It's always good to have another phone handy if my main phone has a problem. I will use the S24 Ultra as my primary phone. The best of both worlds as I see it and life is short, so why not. By the way, I'm retired and just enjoying my life nowadays.""]"
1,2460,1_me_hi_sir_phone,"['me', 'hi', 'sir', 'phone', 'please', 'ultra', 's24', 'mine', 'bro', 'comment']","['😢7 varsha me phone vaparto', '5 saal nhi 7 saal k update Aayenge bro mere paas bhi s24 ultra hi h 🤧 Or bhai samsung ne s24 ultra k baad bhi for galaxy processor doye hain a25 ultra mai bhi or 25 ultra m bhi please puri information k sath video bnao 😒🤧', 'Bhai mere s24 ultra ke camra lens per scratch agye hai 1 saal ke under me hi kya karu 😢😢😢']"
2,1088,2_review_like_ad_your,"['review', 'like', 'ad', 'your', 'youtube', 'videos', 'why', 'was', 'nice', 'watching']","['Top notch review!!', ""That's a hell of a review. You should've a Brazilian official voice dubbing, man. You're amazing, but unfortunately, because of that language barrier, there isn't so many people that know your work in Brazil. You don't even seen people talking or mention you in brazilian's tech review channels on YouTube. Thanks for another outstanding review."", 'This review is the most ""non-review"" review I\'ve ever seen. Is this a review, or an ad?']"
3,476,3_anything_else_why_buy,"['anything', 'else', 'why', 'buy', 'because', 'its', 'too', 'big', 'money', 'because its']","[""Why Buy Anything Else? It's expensive 🙂"", '“why buy anything else?” because its $1300, thats a lot of money for majority of people', ""Why buy anything else? Because it's yuuuuuuge!""]"
4,130,4_ir_ir blaster_blaster_realme,"['ir', 'ir blaster', 'blaster', 'realme', '13', 'plus', 'pro', 'no', 'please', 'launch']","['IR blaster hota to aur achcha lagta', 'Ir blaster Nehi hai😂😂', 'No IR blaster 😭']"
5,56,5_flat_drop_phone_floor,"['flat', 'drop', 'phone', 'floor', 'we', 'stop', 'are', 'when', 'but', 'term']","['Flat', 'Flat', ""Holy Christ !!! ... it's flat !""]"
6,35,6_out_dont think_must_man,"['out', 'dont think', 'must', 'man', 'looking', 'dont', 'legend', 'think', 'see', 'xd']","['That must add TJ McConnel screen time tho', 'Shout out TJ McConnell go Pacers', 'This video must be shot during Haliburton Injury if you considered T.J. McConnell in your Fantasy team.?']"
7,29,7_like_fake_there_about,"['like', 'fake', 'there', 'about', 'when', 'said', 'still', 'yourself', 'what', 'image']","['""...like, the moon?"" <- love it, see what you did there', 'Good decision on bringing that topic about moon shit controversy. Well said bro. This was proved by a youtuber who used a torch light (LED) in low light. S23 captured it as an LED and not moon. I forgot that Youtubers id. But if there any blind Apple clowns or anyone for the matter , u can look it up in YouTube and see it for yourself.😑', ""right now it is an age of computational photography in smartphones. Its just the way it is, and i'd never say that its wrong to process a pic of the moon. but certainly processing the photo of a lit bulb into a moon is a mistake.. a big one. feel like there should have been more factors to it that the phone could have had gone through to process an image that way. Like maybe knowing the *time of the day* if its when the moon would be up there, or like when using 100x zoom check the *gyroscope* of the phone if it is tilted to a degree towards the sky..""]"
8,13,8_we_we need_right_our,"['we', 'we need', 'right', 'our', 'be', 'active', 'community', 'need', 'guys', 'up']","['Just leaving this here.. My heart goes to the entire community for AMZPKK building up something which is worth it for everyone. This is so smart by them to launch and shatter the doubts and fears of the common folk, which was misplaced by all the drama we had last years. Time for changes', ""We need to wake up and realize how AMZPKK can help this society once and for all, if nothing happens from our side y'all will be milked like cows or worse, always has been like this and it can only become worse. Luckily there is a way out"", 'To anyone seeing this. We need to stand UNITED. We need to get active in our local communities. We need to make phone calls to our congressmen and senators, governors, state legislators, attorney Generals. Write letters and emails, make the phone calls. Go to school board meetings. City council meetings. Run for local elections. Start a community gardens and have swaps with your neighbors. GET ACTIVE LOCALLY']"
